Log4j2, CVE-2021-45046
Penetration Testing as a Service, vulnerabilities
OWASP Top 10, Software and Data Integrity Failures
XDR, elevation of privilege
Windows Remote Desktop Protocol, CVE-2022-21840
Spotify, Solorigate
Small Business routers, CVE-2021-1319
GraphQL, vulnerabilities
Siri Shortcuts, going dark
Prometheus, exposed endpoints
SPF, ransomware
iOS devices, kernel vulnerability
MosaicRegressor, UEFI Secure Boot
Driver Execution Environment, CVE-2022-40516
ShareFile storage zones controller, CVE-2023-24489
Windows 11, CVE-2023-28303
Salesforce, unauthorized dissemination
Kubernetes, DDoS attacks
Wi-Fi Protected Access 3, FragAttacks
Windows, exposed SMB services
Windows rootkit, CVE-2021-21551
API keys, weak authorization
Linux kernel, security updates
BrasDex, Automated Transfer System
vSphere Client, CVE-2021-21972
MonPass, backdoor
Windows Print Spooler service, PrintNightmare
Xerox network printer, CVE
Fenix, vulnerable WordPress engines
Google Workspace, misconfiguration
BLTC.exe, CVE-2022-26352
Acura, security vulnerability in cars
PowerShell, CVE-2021-26701
ProxyLogon Microsoft Exchange Server vulnerabilities, PlugX
SiteManager, CVE-2020-11644
AMD, CVE-2022-29900
Azure, credential access
Internet Systems Consortium, CVE-2022-3488
DevSecOps, exploitable holes
VMware Cloud Foundation, CVE-2022-22961
Adobe Illustrator, CVE-2021-21105
RV260P, CVE-2021-1293
TeaBot, financial fraud
Uber, two-factor authentication (2FA)
Chrome, backdoor
Cisco SD-WAN vManage, CVE-2023-20214
Exchange Server 2016, date validation error
Word, CVE-2021-31179
Log4j, CVE-2021-45105
CVSS v4.0, Environmental Metrics
Apple, CVE-2022-22674
Cloudflare Tunnel, brute-force login attacks
Windows 10, zero-day vulnerabilities
FortiOS, CVE-2023-25610
Koo, XSS worm
Microsoft, zero-day issue
Zyxel, CVE-2022-26531
Touring, CVE-2022-27254
Nissan North America, poorly configured, cloud-based public repository
Secure Mobile Access (SMA), zero-day vulnerabilities
IoT SAFE, unauthenticated access control mechanisms
Adaptive Shield, credential access
OAuth, malicious third party apps
APIs, design flaws
CSPM, misconfigurations
Multi-Factor Authentication, Identity Attack Surface
material-tailwindcss, software supply chain threats
Android, backdoor malware
NetScaler, CVE-2023-3519
Harbortouch, malicious PHP code
